"","domainID","siteID","plotID","trapID","collectDate","processingDate","identifiedDate","sampleID","individualID","specimenSource","taxonID","scientificName","taxonRank","identificationQualifier","scientificNameAuthorship","morphospeciesID","identificationReferences","identifiedBy","recordedBy","remarks","duplicateIndividualIDQF","individualCount","sampleType"
"11","D10","STER","STER_033","N","7/8/2014","2/6/2015","2/6/2015","STER_033.N.20140708.OC.01","NEON.BET.D10.001671","vial of pooled individuals","D10.2014.MorphQ","","","","","D10.2014.MorphQ",NA,"P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh","P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh","Little AMACAR. No ridge on lower edges of pronotum.",0,1,"other carabid"
"12","D10","STER","STER_033","N","7/8/2014","2/6/2015","2/6/2015","STER_033.N.20140708.OC.01","NEON.BET.D10.001664","vial of pooled individuals","ANIRUS","Anisodactylus rusticus","species","","Say","",NA,"P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh","P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh","",0,1,"other carabid"
"13","D10","STER","STER_033","N","7/8/2014","2/6/2015","2/6/2015","STER_033.N.20140708.OC.01","NEON.BET.D10.001663","vial of pooled individuals","ANIRUS","Anisodactylus rusticus","species","","Say","",NA,"P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh","P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh","",0,1,"other carabid"
"14","D10","STER","STER_033","N","7/8/2014","2/6/2015","2/6/2015","STER_033.N.20140708.OC.01","NEON.BET.D10.001662","vial of pooled individuals","ANIRUS","Anisodactylus rusticus","species","","Say","",NA,"P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh","P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh","",0,1,"other carabid"
"15","D10","STER","STER_033","N","7/8/2014","2/5/2015","2/6/2015","STER_033.N.20140708.OC.01","NEON.BET.D10.001661","vial of pooled individuals","HARAMP1","Harpalus amputatus","species","","Say","",NA,"P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh","P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh","",0,1,"other carabid"
"16","D10","STER","STER_033","N","7/8/2014","2/6/2015","2/6/2015","STER_033.N.20140708.OC.01","NEON.BET.D10.001668","vial of pooled individuals","D10.2014.MorphB","","","","","D10.2014.MorphB",NA,"P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh","P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh","approximately 5 mm in length. 2 orbital setae. pronotum with somewhat parallel sides. brassy iridescence overall. Could be Amara cupreolata or A. convexa",0,1,"other carabid"
"17","D10","STER","STER_033","N","7/8/2014","2/6/2015","2/6/2015","STER_033.N.20140708.OC.01","NEON.BET.D10.001667","vial of pooled individuals","HARREV","Harpalus reversus","species","","Casey","",NA,"P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh","P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh","",0,1,"other carabid"
"18","D10","STER","STER_033","N","7/8/2014","2/6/2015","2/6/2015","STER_033.N.20140708.OC.01","NEON.BET.D10.001666","vial of pooled individuals","HARREV","Harpalus reversus","species","","Casey","",NA,"P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh","P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh","",0,1,"other carabid"
"19","D10","STER","STER_033","N","7/8/2014","2/6/2015","2/6/2015","STER_033.N.20140708.OC.01","NEON.BET.D10.001665","vial of pooled individuals","CICPUN","Cicindela punctulata","species","","Olivier","",NA,"P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh","P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh","",0,1,"other carabid"
"20","D10","STER","STER_033","N","7/8/2014","2/6/2015","2/6/2015","STER_033.N.20140708.OC.01","NEON.BET.D10.001669","vial of pooled individuals","D10.2014.MorphF","","","","","D10.2014.MorphF",NA,"P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh","P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh","approximately 10mm. leg more rufous than body. enlarged femur on all legs. One orbital setae",0,1,"other carabid"
"21","D10","STER","STER_033","E","7/8/2014","2/5/2015","2/5/2015","STER_033.E.20140708.OC.01","NEON.BET.D10.001660","vial of pooled individuals","D10.2014.MorphL","","","","","D10.2014.MorphL",NA,"P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh","P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh","approximately 15mm. basal pronotum indented with no dorsal ridge and not sinuate. elytra striate. Non toothed mentum. single orbital setae. similar to morph K but smaller",0,1,"other carabid"
"22","D10","STER","STER_033","E","7/8/2014","2/5/2015","2/5/2015","STER_033.E.20140708.OC.01","NEON.BET.D10.001654","vial of pooled individuals","ANIRUS","Anisodactylus rusticus","species","","Say","",NA,"P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh","P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh","",0,1,"other carabid"
"23","D10","STER","STER_033","E","7/8/2014","2/5/2015","2/5/2015","STER_033.E.20140708.OC.01","NEON.BET.D10.001657","vial of pooled individuals","ANIRUS","Anisodactylus rusticus","species","","Say","",NA,"P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh","P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh","",0,1,"other carabid"
"24","D10","STER","STER_033","E","7/8/2014","2/5/2015","2/5/2015","STER_033.E.20140708.OC.01","NEON.BET.D10.001653","vial of pooled individuals","HARPEN","Harpalus pensylvanicus","species","","DeGeer","",NA,"P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh","P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh","",0,1,"other carabid"
"25","D10","STER","STER_033","E","7/8/2014","2/5/2015","2/5/2015","STER_033.E.20140708.OC.01","NEON.BET.D10.001652","vial of pooled individuals","CRADUB","Cratacanthus dubius","species","","Palisot de Beauvois","",NA,"P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh","P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh","",0,1,"other carabid"
"26","D10","STER","STER_033","E","7/8/2014","2/5/2015","2/5/2015","STER_033.E.20140708.OC.01","NEON.BET.D10.001659","vial of pooled individuals","ANISP1","Anisodactylus (Gynandrotarsus) sp.","subgenus","","LaFertÃƒÂ©-SÃƒÂ©nectÃƒÂ¨re","",NA,"P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh","P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh","",0,1,"other carabid"
"27","D10","STER","STER_033","E","7/8/2014","2/5/2015","2/5/2015","STER_033.E.20140708.OC.01","NEON.BET.D10.001658","vial of pooled individuals","HARAMP","Harpalus amputatus amputatus","subspecies","","Say","",NA,"P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh","P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh","",0,1,"other carabid"
"28","D10","STER","STER_032","N","7/8/2014","2/10/2015","2/10/2015","STER_032.N.20140708.OC.01","NEON.BET.D10.001689","vial of pooled individuals","D10.2014.MorphS","","","","","D10.2014.MorphS",NA,"P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh","P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh","rounded pronotum with anterior punctate. Spots on posterior of elytra",0,1,"other carabid"
"29","D10","STER","STER_032","N","7/8/2014","2/10/2015","2/10/2015","STER_032.N.20140708.OC.01","NEON.BET.D10.001688","vial of pooled individuals","PASELO","Pasimachus elongatus","species","","LeConte","",NA,"P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh","P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh","",0,1,"other carabid"
"30","D10","STER","STER_029","E","7/8/2014","2/10/2015","2/10/2015","STER_029.E.20140708.OC.01","NEON.BET.D10.001595","vial of pooled individuals","PASELO","Pasimachus elongatus","species","","LeConte","",NA,"XXW8BqPXtz8Ncjf8bOi7gc6Hj7+NVXsl","XXW8BqPXtz8Ncjf8bOi7gc6Hj7+NVXsl","",0,1,"other carabid"
"31","D10","STER","STER_029","E","7/8/2014","2/10/2015","2/10/2015","STER_029.E.20140708.OC.01","NEON.BET.D10.001596","vial of pooled individuals","HARCAL","Harpalus caliginosus","species","","Fabricius","",NA,"XXW8BqPXtz8Ncjf8bOi7gc6Hj7+NVXsl","XXW8BqPXtz8Ncjf8bOi7gc6Hj7+NVXsl","",0,1,"other carabid"
"32","D10","STER","STER_029","E","7/8/2014","2/10/2015","2/10/2015","STER_029.E.20140708.OC.01","NEON.BET.D10.001597","vial of pooled individuals","D10.2014.MorphQ","","","","","D10.2014.MorphQ",NA,"XXW8BqPXtz8Ncjf8bOi7gc6Hj7+NVXsl","XXW8BqPXtz8Ncjf8bOi7gc6Hj7+NVXsl","Little AMACAR. No ridge on lower edges of pronotum.",0,1,"other carabid"
"33","D10","STER","STER_029","E","7/8/2014","2/10/2015","2/10/2015","STER_029.E.20140708.OC.01","NEON.BET.D10.001598","vial of pooled individuals","ANIRUS","Anisodactylus rusticus","species","","Say","",NA,"XXW8BqPXtz8Ncjf8bOi7gc6Hj7+NVXsl","XXW8BqPXtz8Ncjf8bOi7gc6Hj7+NVXsl","",0,1,"other carabid"
"34","D10","STER","STER_029","E","7/8/2014","2/10/2015","2/10/2015","STER_029.E.20140708.OC.01","NEON.BET.D10.001594","vial of pooled individuals","PASELO","Pasimachus elongatus","species","","LeConte","",NA,"XXW8BqPXtz8Ncjf8bOi7gc6Hj7+NVXsl","XXW8BqPXtz8Ncjf8bOi7gc6Hj7+NVXsl","",0,1,"other carabid"
"35","D10","STER","STER_029","E","7/8/2014","2/10/2015","2/10/2015","STER_029.E.20140708.OC.01","NEON.BET.D10.001593","vial of pooled individuals","PASELO","Pasimachus elongatus","species","","LeConte","",NA,"XXW8BqPXtz8Ncjf8bOi7gc6Hj7+NVXsl","XXW8BqPXtz8Ncjf8bOi7gc6Hj7+NVXsl","",0,1,"other carabid"
"36","D10","STER","STER_029","E","7/8/2014","2/10/2015","2/10/2015","STER_029.E.20140708.OC.01","NEON.BET.D10.001614","vial of pooled individuals","D10.2014.MorphV","","","","","D10.2014.MorphV",NA,"XXW8BqPXtz8Ncjf8bOi7gc6Hj7+NVXsl","XXW8BqPXtz8Ncjf8bOi7gc6Hj7+NVXsl","A. obesa-like. Smoother pronotum. Pronotum same width as elytra. Smaller in size",0,1,"other carabid"
"37","D10","STER","STER_029","E","7/8/2014","2/10/2015","2/10/2015","STER_029.E.20140708.OC.01","NEON.BET.D10.001615","vial of pooled individuals","SELSP2","Selenophorus sp.","genus","","Dejean","",NA,"XXW8BqPXtz8Ncjf8bOi7gc6Hj7+NVXsl","XXW8BqPXtz8Ncjf8bOi7gc6Hj7+NVXsl","",0,1,"other carabid"
"38","D10","STER","STER_029","E","7/8/2014","2/10/2015","2/10/2015","STER_029.E.20140708.OC.01","NEON.BET.D10.001612","vial of pooled individuals","D10.2014.MorphL","","","","","D10.2014.MorphL",NA,"XXW8BqPXtz8Ncjf8bOi7gc6Hj7+NVXsl","XXW8BqPXtz8Ncjf8bOi7gc6Hj7+NVXsl","approximately 15mm. basal pronotum indented with no dorsal ridge and not sinuate. elytra striate. Non toothed mentum. single orbital setae. similar to morph K but smaller",0,1,"other carabid"
"39","D10","STER","STER_029","E","7/8/2014","2/10/2015","2/10/2015","STER_029.E.20140708.OC.01","NEON.BET.D10.001610","vial of pooled individuals","D10.2014.MorphJ","","","","","D10.2014.MorphJ",NA,"XXW8BqPXtz8Ncjf8bOi7gc6Hj7+NVXsl","XXW8BqPXtz8Ncjf8bOi7gc6Hj7+NVXsl","Could be Amara sp. approximately 10mm. bottom of pronotum has hook on it. brown color. Smaller than B",0,1,"other carabid"
"40","D10","STER","STER_029","E","7/8/2014","2/10/2015","2/10/2015","STER_029.E.20140708.OC.01","NEON.BET.D10.001611","vial of pooled individuals","D10.2014.MorphJ","","","","","D10.2014.MorphJ",NA,"XXW8BqPXtz8Ncjf8bOi7gc6Hj7+NVXsl","XXW8BqPXtz8Ncjf8bOi7gc6Hj7+NVXsl","Could be Amara sp. approximately 10mm. bottom of pronotum has hook on it. brown color. Smaller than B",0,1,"other carabid"
"41","D10","STER","STER_029","E","7/8/2014","2/10/2015","2/10/2015","STER_029.E.20140708.OC.01","NEON.BET.D10.001607","vial of pooled individuals","ANIRUS","Anisodactylus rusticus","species","","Say","",NA,"XXW8BqPXtz8Ncjf8bOi7gc6Hj7+NVXsl","XXW8BqPXtz8Ncjf8bOi7gc6Hj7+NVXsl","",0,1,"other carabid"
"42","D10","STER","STER_029","E","7/8/2014","2/10/2015","2/10/2015","STER_029.E.20140708.OC.01","NEON.BET.D10.001608","vial of pooled individuals","ANIRUS","Anisodactylus rusticus","species","","Say","",NA,"XXW8BqPXtz8Ncjf8bOi7gc6Hj7+NVXsl","XXW8BqPXtz8Ncjf8bOi7gc6Hj7+NVXsl","",0,1,"other carabid"
"43","D10","STER","STER_029","E","7/8/2014","2/10/2015","2/10/2015","STER_029.E.20140708.OC.01","NEON.BET.D10.001609","vial of pooled individuals","AGOPLA","Agonum placidum","species","","Say","",NA,"XXW8BqPXtz8Ncjf8bOi7gc6Hj7+NVXsl","XXW8BqPXtz8Ncjf8bOi7gc6Hj7+NVXsl","",0,1,"other carabid"
"44","D10","STER","STER_033","E","8/5/2014","2/18/2015","2/18/2015","STER_033.E.20140805.OC.01","NEON.BET.D10.002190","vial of pooled individuals","HARAMP","Harpalus amputatus amputatus","subspecies","","Say","",NA,"P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh","P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh","",0,1,"other carabid"
"45","D10","STER","STER_033","E","8/5/2014","2/18/2015","2/18/2015","STER_033.E.20140805.OC.01","NEON.BET.D10.002191","vial of pooled individuals","D10.2014.MorphL","","","","","D10.2014.MorphL",NA,"P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh","P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh","~15mm, basal pronotum indented with no dorsal ridge and not sinuate, elytra striate, non-toothed mentum, single orbital setae, similar to morph K but smaller",0,1,"other carabid"
"46","D10","STER","STER_033","E","8/5/2014","2/18/2015","2/18/2015","STER_033.E.20140805.OC.01","NEON.BET.D10.002198","vial of pooled individuals","HARREV","Harpalus reversus","species","","Casey","",NA,"P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh","P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh","",0,1,"other carabid"
"47","D10","STER","STER_033","E","8/5/2014","2/18/2015","2/18/2015","STER_033.E.20140805.OC.01","NEON.BET.D10.002199","vial of pooled individuals","HARREV","Harpalus reversus","species","","Casey","",NA,"P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh","P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh","",0,1,"other carabid"
"48","D10","STER","STER_033","E","8/5/2014","2/18/2015","2/18/2015","STER_033.E.20140805.OC.01","NEON.BET.D10.002196","vial of pooled individuals","HARREV","Harpalus reversus","species","","Casey","",NA,"P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh","P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh","",0,1,"other carabid"
"49","D10","STER","STER_033","E","8/5/2014","2/18/2015","2/18/2015","STER_033.E.20140805.OC.01","NEON.BET.D10.002197","vial of pooled individuals","HARREV","Harpalus reversus","species","","Casey","",NA,"P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh","P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh","",0,1,"other carabid"
"50","D10","STER","STER_033","E","8/5/2014","2/18/2015","2/18/2015","STER_033.E.20140805.OC.01","NEON.BET.D10.002194","vial of pooled individuals","D10.2014.MorphL","","","","","D10.2014.MorphL",NA,"P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh","P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh","~15mm, basal pronotum indented with no dorsal ridge and not sinuate, elytra striate, non-toothed mentum, single orbital setae, similar to morph K but smaller",0,1,"other carabid"
"51","D10","STER","STER_033","E","8/5/2014","2/18/2015","2/18/2015","STER_033.E.20140805.OC.01","NEON.BET.D10.002195","vial of pooled individuals","D10.2014.MorphF","","","","","D10.2014.MorphF",NA,"P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh","P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh","~10mm, leg more rufous than body, enlarged femur on all legs. One orbital setae",0,1,"other carabid"
"52","D10","STER","STER_033","E","8/5/2014","2/18/2015","2/18/2015","STER_033.E.20140805.OC.01","NEON.BET.D10.002192","vial of pooled individuals","D10.2014.MorphL","","","","","D10.2014.MorphL",NA,"P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh","P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh","~15mm, basal pronotum indented with no dorsal ridge and not sinuate, elytra striate, non-toothed mentum, single orbital setae, similar to morph K but smaller",0,1,"other carabid"
"53","D10","STER","STER_033","E","8/5/2014","2/18/2015","2/18/2015","STER_033.E.20140805.OC.01","NEON.BET.D10.002193","vial of pooled individuals","D10.2014.MorphL","","","","","D10.2014.MorphL",NA,"P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh","P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh","~15mm, basal pronotum indented with no dorsal ridge and not sinuate, elytra striate, non-toothed mentum, single orbital setae, similar to morph K but smaller",0,1,"other carabid"
"54","D10","STER","STER_033","E","8/5/2014","2/18/2015","2/18/2015","STER_033.E.20140805.OC.01","NEON.BET.D10.002189","vial of pooled individuals","HARAMP","Harpalus amputatus amputatus","subspecies","","Say","",NA,"P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh","P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh","",0,1,"other carabid"
"55","D10","STER","STER_033","W","8/5/2014","2/19/2015","2/19/2015","STER_033.W.20140805.OC.01","NEON.BET.D10.002283","vial of pooled individuals","D10.2014.MorphL","","","","","D10.2014.MorphL",NA,"P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh","P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh","~15mm, basal pronotum indented with no dorsal ridge and not sinuate, elytra striate, non-toothed mentum, single orbital setae, similar to morph K but smaller",0,1,"other carabid"
"56","D10","STER","STER_033","W","8/5/2014","2/19/2015","2/19/2015","STER_033.W.20140805.OC.01","NEON.BET.D10.002282","vial of pooled individuals","D10.2014.MorphL","","","","","D10.2014.MorphL",NA,"P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh","P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh","~15mm, basal pronotum indented with no dorsal ridge and not sinuate, elytra striate, non-toothed mentum, single orbital setae, similar to morph K but smaller",0,1,"other carabid"
"57","D10","STER","STER_033","W","8/5/2014","2/19/2015","2/19/2015","STER_033.W.20140805.OC.01","NEON.BET.D10.002281","vial of pooled individuals","D10.2014.MorphF","","","","","D10.2014.MorphF",NA,"P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh","P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh","~10mm, leg more rufous than body, enlarged femur on all legs. One orbital setae",0,1,"other carabid"
"58","D10","STER","STER_033","W","8/5/2014","2/19/2015","2/19/2015","STER_033.W.20140805.OC.01","NEON.BET.D10.002280","vial of pooled individuals","ANIRUS","Anisodactylus rusticus","species","","Say","",NA,"P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh","P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh","",0,1,"other carabid"
"59","D10","STER","STER_033","W","8/5/2014","2/19/2015","2/19/2015","STER_033.W.20140805.OC.01","NEON.BET.D10.002286","vial of pooled individuals","D10.2014.MorphAB","","","","","D10.2014.MorphAB",NA,"P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh","P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh","similar to, or is, either Harpalus fuscipalpus or Harpalus carbonatus. ~10 mm long. Basal fovea more convex. Sparsely punctate. Posterior pronotal corners rounded but defined with small overlap onto elytra.",0,1,"other carabid"
"60","D10","STER","STER_033","W","8/5/2014","2/19/2015","2/19/2015","STER_033.W.20140805.OC.01","NEON.BET.D10.002285","vial of pooled individuals","SELSP2","Selenophorus sp.","genus","","Dejean","",NA,"P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh","P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh","",0,1,"other carabid"
"61","D10","STER","STER_033","W","8/5/2014","2/19/2015","2/19/2015","STER_033.W.20140805.OC.01","NEON.BET.D10.002284","vial of pooled individuals","SELSP2","Selenophorus sp.","genus","","Dejean","",NA,"P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh","P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh","",0,1,"other carabid"
"62","D10","STER","STER_033","W","8/5/2014","2/19/2015","2/19/2015","STER_033.W.20140805.OC.01","NEON.BET.D10.002279","vial of pooled individuals","ANIRUS","Anisodactylus rusticus","species","","Say","",NA,"P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh","P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh","",0,1,"other carabid"
"63","D10","STER","STER_033","W","8/5/2014","2/19/2015","2/19/2015","STER_033.W.20140805.OC.01","NEON.BET.D10.002277","vial of pooled individuals","ANIRUS","Anisodactylus rusticus","species","","Say","",NA,"P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh","P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh","",0,1,"other carabid"
"64","D10","STER","STER_033","W","8/5/2014","2/19/2015","2/19/2015","STER_033.W.20140805.OC.01","NEON.BET.D10.002278","vial of pooled individuals","ANIRUS","Anisodactylus rusticus","species","","Say","",NA,"P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh","P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh","",0,1,"other carabid"
"65","D10","STER","STER_033","W","8/5/2014","2/19/2015","2/19/2015","STER_033.W.20140805.OC.01","NEON.BET.D10.002276","vial of pooled individuals","ANIRUS","Anisodactylus rusticus","species","","Say","",NA,"P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh","P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh","",0,1,"other carabid"
"66","D10","STER","STER_033","E","8/5/2014","2/18/2015","2/18/2015","STER_033.E.20140805.OC.01","NEON.BET.D10.002206","vial of pooled individuals","D10.2014.MorphB","","","","","D10.2014.MorphB",NA,"P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh","P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh","~5 mm in length. Amara sp? 2 orbital setae, pronotum with somewhat parallel sides, brassy iridescence overall. Amara cupreolata or A. convexa?",0,1,"other carabid"
